Created At,type,User Name,NumFollowers,NumRetweets,NumFavorites,NumReplies,statusID,link
2019-03-28 18:22:45 CDT-0500,healthcare,CVSHealth,44357,3,5,0,1111332816531402753,https://twitter.com/CVSHealth/status/1111332816531402753
2019-03-28 15:40:06 CDT-0500,healthcare,CVSHealth,44357,1,2,2,1111291885014921216,https://twitter.com/CVSHealth/status/1111291885014921216
2019-03-28 13:01:48 CDT-0500,healthcare,CVSHealth,44357,1,17,0,1111252047502942209,https://twitter.com/CVSHealth/status/1111252047502942209
2019-03-27 21:06:18 CDT-0500,healthcare,CVSHealth,44357,0,0,1,1111011588088188929,https://twitter.com/CVSHealth/status/1111011588088188929
2019-03-27 18:19:33 CDT-0500,healthcare,CVSHealth,44357,1,2,2,1110969622130552833,https://twitter.com/CVSHealth/status/1110969622130552833
2019-03-27 17:30:32 CDT-0500,healthcare,CVSHealth,44357,0,6,4,1110957285398986752,https://twitter.com/CVSHealth/status/1110957285398986752
2019-03-27 13:05:08 CDT-0500,healthcare,CVSHealth,44357,3,9,7,1110890496036093952,https://twitter.com/CVSHealth/status/1110890496036093952
2019-03-26 17:15:11 CDT-0500,healthcare,CVSHealth,44357,3,9,1,1110591037800615936,https://twitter.com/CVSHealth/status/1110591037800615936
2019-03-26 15:01:03 CDT-0500,healthcare,CVSHealth,44357,5,5,0,1110557279777116162,https://twitter.com/CVSHealth/status/1110557279777116162
2019-03-26 13:20:39 CDT-0500,healthcare,CVSHealth,44357,4,7,0,1110532013797376002,https://twitter.com/CVSHealth/status/1110532013797376002
2019-03-26 13:01:53 CDT-0500,healthcare,CVSHealth,44357,1,2,0,1110527289387876352,https://twitter.com/CVSHealth/status/1110527289387876352
2019-03-25 17:20:06 CDT-0500,healthcare,CVSHealth,44357,2,15,3,1110229886675939330,https://twitter.com/CVSHealth/status/1110229886675939330
2019-03-25 15:30:25 CDT-0500,healthcare,CVSHealth,44357,5,8,0,1110202284942741504,https://twitter.com/CVSHealth/status/1110202284942741504
2019-03-25 13:02:00 CDT-0500,healthcare,CVSHealth,44357,37,131,3,1110164933759680512,https://twitter.com/CVSHealth/status/1110164933759680512
2019-03-22 17:15:09 CDT-0500,healthcare,CVSHealth,44357,2,12,1,1109141478557790209,https://twitter.com/CVSHealth/status/1109141478557790209
